                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      author	                                                                                                                                                                                                                                                                                                           title	    year	                                       doi
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Tomasev N. and Glorot X. and Rae J. W. and Zielinski M. and Askham H. and Saraiva A. and Mottram A. and Meyer C. and Ravuri S. and Protsyuk I. and Connell A. and Hughes C. O. and Karthikesalingam A. and Cornebise J. and Montgomery H. and Rees G. and Laing C. and Baker C. R. and Peterson K. and Reeves R. and Hassabis D. and King D. and Suleyman M. and Back T. and Nielson C. and Ledsam J. R. and Mohamed S.	                                                                                                                                                                                                                         A clinically applicable approach to continuous prediction of future acute kidney injury	    2019	                 10.1038/s41586-019-1390-1
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Mundt M. and David S. and Koeppe A. and Bamer F. and Markert B. and Potthast W.	                                                                                                                                                                                                                                          Intelligent prediction of kinetic parameters during cutting manoeuvres	    2019	                10.1007/s11517-019-02000-2
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Prakash M. and Joukainen A. and Torniainen J. and Honkanen M. K. M. and Rieppo L. and Afara I. O. and Kroger H. and Toyras J. and Sarin J. K.	                                                                                                                                                                                       Near-infrared spectroscopy enables quantitative evaluation of human cartilage biomechanical properties during arthroscopy	    2019	                10.1016/j.joca.2019.04.008
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Halbersberg D. and Lerner B.	                                                                                                                                                                                                                  Young driver fatal motorcycle accident analysis by jointly maximizing accuracy and information	    2019	                 10.1016/j.aap.2019.04.016
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Fox K. R. and Huang X. Y. N. and Linthicum K. P. and Wang S. B. and Franklin J. C. and Ribeiro J. D.	                                                                                                                                                                                                                                             Model Complexity Improves the Prediction of Nonsuicidal Self-Injury	    2019	                        10.1037/ccp0000421
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Kakhki F. D. and Freeman S. A. and Mosher G. A.	                                                                                                                                                                                                                Evaluating machine learning performance in predicting injury severity in agribusiness industries	    2019	                10.1016/j.ssci.2019.04.026
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Kim T. H. and Choi A. and Heo H. M. and Kim K. and Lee K. and Mun J. H.	                                                                                                                                                                                                                    Machine Learning-Based Pre-Impact Fall Detection Model to Discriminate Various Types of Fall	    2019	                         10.1115/1.4043449
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Sheikh K. and Lee S. H. and Cheng Z. and Lakshminarayanan P. and Peng L. K. and Han P. J. and McNutt T. R. and Quon H. and Lee J.	                                                                                                                                                                             Predicting acute radiation induced xerostomia in head and neck Cancer using MR and CT Radiomics of parotid and submandibular glands	    2019	                 10.1186/s13014-019-1339-4
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Wshah S. and Skalka C. and Price M.	                                                                                                                                                                                                                                      Predicting Posttraumatic Stress Disorder Risk: A Machine Learning Approach	    2019	                             10.2196/13946
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Hernandez-Suarez D. F. and Kim Y. and Villablanca P. and Gupta T. and Wiley J. and Nieves-Rodriguez B. G. and Rodriguez-Maldonado J. and Maldonado R. F. and Sant'Ana I. D. and Sanina C. and Cox-Alomar P. and Ramakrishna H. and Lopez-Candales A. and O'Neill W. W. and Pinto D. S. and Latib A. and Roche-Lima A.	                                                                                                                                                                                                       Machine Learning Prediction Models for In-Hospital Mortality After Transcatheter Aortic Valve Replacement	    2019	                10.1016/j.jcin.2019.06.013
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Kim H. and Lee S. B. and Son Y. and Czosnyka M. and Kim D. J.	                                                                                                                                                         Hemodynamic Instability and Cardiovascular Events After Traumatic Brain Injury Predict Outcome After Artifact Removal With Deep Belief Network Analysis	    2018	              10.1097/ana.0000000000000462
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Bertsimas D. and Dunn J. and Steele D. W. and Trikalinos T. A. and Wang Y. C.	                                                                                                                                                               Comparison of Machine Learning Optimal Classification Trees With the Pediatric Emergency Care Applied Research Network Head Trauma Decision Rules	    2019	          10.1001/jamapediatrics.2019.1068
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Pu Y. Y. and Apel D. B. and Liu V. and Mitri H.	                                                                                                                                                                                                                                       Machine learning methods for rockburst prediction-state-of-the-art review	    2019	               10.1016/j.ijmst.2019.06.009
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Feng C. L. and Chen H. W. and Yuan X. Q. and Sun M. Q. and Chu K. X. and Liu H. Q. and Rui M. J.	                                                                                                                                                                                                  Gene Expression Data Based Deep Learning Model for Accurate Prediction of Drug-Induced Liver Injury in Advance	    2019	                  10.1021/acs.jcim.9b00143
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Dennis B. M. and Stonko D. P. and Callcut R. A. and Sidwell R. A. and Stassen N. A. and Cohen M. J. and Cotton B. A. and Guillamondegui O. D.	                                                                                                                                                                                    Artificial neural networks can predict trauma volume and acuity regardless of center size and geography: A multicenter study	    2019	               10.1097/ta.0000000000002320
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Boshra R. and Dhindsa K. and Boursalie O. and Ruiter K. I. and Sonnadara R. and Samavi R. and Doyle T. E. and Reilly J. P. and Connolly J. F.	                                                                                                                                                                                          From Group-Level Statistics to Single-Subject Prediction: Machine Learning Detection of Concussion in Retired Athletes	    2019	                10.1109/tnsre.2019.2922553
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Hopkins B. S. and Weber K. A. and Kesavabhotla K. and Paliwal M. and Cantrell D. R. and Smith Z. A.	                                                                                                                                                                                               Machine Learning for the Prediction of Cervical Spondylotic Myelopathy: A Post Hoc Pilot Study of 28 Participants	    2019	                10.1016/j.wneu.2019.03.165
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Radabaugh H. and Bonnell J. and Nemeth Z. and Uddin L. and Shapiro L. and Sarkar D. and Schwartz O. and Dietrich W. D. and Bramlett H.	                                                                                                                                                                                                                            PROBING THE OPERATION BRAIN TRAUMA THERAPY DATASET USING MACHINE LEARNING TECHNIQUES	    2019	                                          
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Bergeron M. F. and Landset S. and Maugans T. A. and Williams V. B. and Collins C. L. and Wasserman E. B. and Khoshgoftaar T. M.	                                                                                                                                                                                                                                       Machine Learning in Modeling High School Sport Concussion Symptom Resolve	    2019	              10.1249/mss.0000000000001903
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Schuttler A. and Altenburger R. and Ammar M. and Bader-Blukott M. and Jakobs G. and Knapp J. and Kruger J. and Reiche K. and Wu G. M. and Busch W.	                                                                                                                                                                                                                                           Map and model-moving from observation to prediction in toxicogenomics	    2019	                10.1093/gigascience/giz057
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Rau C. S. and Wu S. C. and Chuang J. F. and Huang C. Y. and Liu H. T. and Chien P. C. and Hsieh C. H.	                                                                                                                                                                                                                                               Machine Learning Models of Survival Prediction in Trauma Patients	    2019	                        10.3390/jcm8060799
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Kobsar D. and Osis S. T. and Boyd J. E. and Hettinga B. A. and Ferber R.	                                                                                                                                                                                                 Wearable sensors to predict improvement following an exercise intervention in patients with knee osteoarthritis	    2017	                 10.1186/s12984-017-0309-z
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Greenan K. and Taylor S. L. and Fulkerson D. and Shahlaie K. and Gerndt C. and Krueger E. M. and Zwienenberg M.	                                                                                                                                                                                                                   Selection of children with ultra-severe traumatic brain injury for neurosurgical intervention	    2019	                  10.3171/2019.1.peds18293
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Jain S. and Vande Vyyere T. and Terzopoulos V. and Sima D. M. and Roura E. and Maas A. and Wilms G. and Verheyden J.	                                                                                                                                                                                                                        Automatic Quantification of Computed Tomography Features in Acute Traumatic Brain Injury	    2019	                     10.1089/neu.2018.6183
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Sarkar S. and Vinay S. and Raj R. and Maiti J. and Mitra P.	                                                                                                                                                                                                                   Application of optimized machine learning techniques for prediction of occupational accidents	    2019	                 10.1016/j.cor.2018.02.021
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Elzaafarany K. and Kumar G. and Nakhmani A.	                                                                                                                                                                                                                          Transcranial Doppler-based modeling of hemodynamics using delay differential equations	    2019	                 10.1007/s11760-018-1395-5
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Wu Q. H. and Cai C. P. and Guo P. F. and Chen M. L. and Wu X. Q. and Zhou J. W. and Luo Y. X. and Zou Y. D. and Liu A. L. and Wang Q. and Kuang Z. Y. and Fang J. S.	                                                                                                                                                                                                   In silico Identification and Mechanism Exploration of Hepatotoxic Ingredients in Traditional Chinese Medicine	    2019	                  10.3389/fphar.2019.00458
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Gorczyca M. T. and Toscano N. C. and Cheng J. D.	                                                                                                                                                                                                                             The trauma severity model: An ensemble machine learning approach to risk prediction	    2019	          10.1016/j.compbiomed.2019.02.025
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Bahado-Singh R. O. and Vishweswaraiah S. and Aydas B. and Mishra N. K. and Guda C. and Radhakrishna U.	                                                                                                                                                                                                               Deep Learning/Artificial Intelligence and Blood-Based DNA Epigenomic Prediction of Cerebral Palsy	    2019	                      10.3390/ijms20092075
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Umer A. and Mattila J. and Liedes H. and Koikkalainen J. and Lotjonen J. and Katila A. and Frantzen J. and Newcombe V. and Tenovuo O. and Menon D. and van Gils M.	                                                                                                                                                                                                                      A Decision Support System for Diagnostics and Treatment Planning in Traumatic Brain Injury	    2019	                 10.1109/jbhi.2018.2842717
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Ayala F. and Lopez-Valenciano A. and Martin J. A. G. and Croix M. D. and Vera-Garcia F. J. and Garcia-Vaquero M. D. and Ruiz-Perez I. and Myer G. D.	                                                                                                                                                                                                                           A Preventive Model for Hamstring Injuries in Professional Soccer: Learning Algorithms	    2019	                       10.1055/a-0826-1955
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          Lin K. and Hu Y. H. and Kong G. L.	                                                                                                                                                                                                      Predicting in-hospital mortality of patients with acute kidney injury in the ICU using random forest model	    2019	            10.1016/j.ijmedinf.2019.02.002
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Posteraro F. and Crea S. and Mazzoleni S. and Berteanu M. and Ciobanu I. and Vitiello N. and Cempini M. and Gervasio S. and Mrachacz-Kersting N.	                                                                                                                                                                                                                                     Technologically-advanced assessment of upper-limb spasticity: a pilot study	    2018	            10.23736/s1973-9087.17.04815-8
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Christie S. A. and Conroy A. S. and Callcut R. A. and Hubbard A. E. and Cohen M. J.	                                                                                                                                                                                              Dynamic multi-outcome prediction after injury: Applying adaptive machine learning for precision medicine in trauma	    2019	              10.1371/journal.pone.0213836
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Zhang Z. Z. and Ho K. M. and Hong Y. C.	                                                                                                                                                                                     Machine learning for the prediction of volume responsiveness in patients with oliguric acute kidney injury in critical care	    2019	                 10.1186/s13054-019-2411-z
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Adhikari L. and Ozrazgat-Baslanti T. and Ruppert M. and Madushani Rwma and Paliwal S. and Hashemighouchani H. and Zheng F. and Tao M. and Lopes J. M. and Li X. L. and Rashidi P. and Bihorac A.	                                                                                                                                                                                                            Improved predictive models for acute kidney injury with IDEA: Intraoperative Data Embedded Analytics	    2019	              10.1371/journal.pone.0214904
